age,workclass,education_num,marital_status,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,occupation_grouped,native_country_grouped
24,Private,13,Never-married,Other-relative,White,Male,0,0,40,<=50K,Sales,United-States
38,Private,15,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Prof-specialty,United-States
56,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,0,1887,50,>50K,Other-service,Other
28,Private,10,Married-civ-spouse,Wife,White,Female,4064,0,25,<=50K,Sales,United-States
36,Private,9,Never-married,Own-child,White,Female,0,0,40,<=50K,Machine-op-inspct,United-States
53,Private,5,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Other,United-States
56,Self-emp-inc,10,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Sales,United-States
49,Local-gov,11,Married-civ-spouse,Husband,Black,Male,0,0,40,>50K,Craft-repair,United-States
55,Private,10,Married-civ-spouse,Husband,White,Male,0,0,56,<=50K,Sales,United-States
22,Private,9,Never-married,Not-in-family,White,Male,0,0,41,<=50K,Craft-repair,United-States
21,Private,10,Never-married,Own-child,White,Female,0,0,40,<=50K,Other-service,United-States
40,Private,13,Married-civ-spouse,Husband,White,Male,0,0,60,<=50K,Exec-managerial,United-States
30,Private,13,Never-married,Own-child,Black,Male,0,0,40,<=50K,Exec-managerial,Other
29,State-gov,13,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,Prof-specialty,United-States
19,Private,10,Never-married,Own-child,Black,Male,0,0,35,<=50K,Other-service,United-States
47,Private,13,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,Exec-managerial,United-States
20,Private,10,Never-married,Own-child,White,Female,0,1719,28,<=50K,Adm-clerical,United-States
31,Private,12,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Adm-clerical,United-States
39,Private,10,Divorced,Not-in-family,White,Male,0,0,40,<=50K,Craft-repair,United-States
28,Private,12,Never-married,Not-in-family,White,Female,0,0,60,<=50K,Sales,United-States
24,Private,9,Never-married,Not-in-family,White,Female,0,1762,40,<=50K,Other-service,United-States
38,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,4386,0,35,<=50K,Craft-repair,United-States
37,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Sales,United-States
46,Private,12,Divorced,Not-in-family,Black,Female,0,0,36,<=50K,Other,United-States
38,Federal-gov,14,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Prof-specialty,Other
43,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,0,0,60,<=50K,Craft-repair,United-States
27,Private,11,Married-civ-spouse,Wife,White,Female,0,0,35,<=50K,Adm-clerical,United-States
20,Private,10,Never-married,Own-child,White,Male,0,0,20,<=50K,Sales,United-States
49,Private,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,>50K,Craft-repair,United-States
61,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Craft-repair,United-States
27,Private,10,Never-married,Own-child,White,Female,0,0,40,<=50K,Sales,United-States
19,Private,10,Never-married,Own-child,White,Male,0,0,30,<=50K,Other-service,Mexico
45,Private,11,Never-married,Not-in-family,White,Female,0,1564,40,>50K,Prof-specialty,United-States
70,Private,10,Never-married,Other-relative,White,Male,0,0,40,<=50K,Other,United-States
31,Private,9,Never-married,Unmarried,Black,Female,0,0,30,<=50K,Other,United-States
22,Private,10,Married-civ-spouse,Husband,White,Male,0,0,24,<=50K,Other-service,United-States
36,Private,9,Widowed,Unmarried,White,Female,0,0,24,<=50K,Other-service,United-States
64,Private,7,Married-civ-spouse,Husband,White,Male,0,2179,40,<=50K,Craft-repair,United-States
47,Local-gov,10,Divorced,Unmarried,White,Female,0,0,38,<=50K,Adm-clerical,Mexico
34,Private,9,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Adm-clerical,United-States
33,Private,13,Never-married,Other-relative,Asian-Pac-Islander,Female,0,0,40,<=50K,Exec-managerial,Philippines
21,Private,9,Never-married,Own-child,White,Male,0,0,35,<=50K,Craft-repair,United-States
48,Private,9,Married-civ-spouse,Husband,White,Male,0,0,46,<=50K,Craft-repair,United-States
23,Private,13,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Other,United-States
71,Self-emp-not-inc,10,Separated,Unmarried,Black,Male,0,1816,2,<=50K,Sales,United-States
29,Private,9,Divorced,Not-in-family,White,Male,0,0,60,<=50K,Craft-repair,United-States
42,Private,13,Separated,Other-relative,Black,Male,0,0,50,<=50K,Other-service,United-States
25,Private,9,Never-married,Unmarried,White,Female,0,0,40,<=50K,Other-service,United-States
44,Self-emp-inc,14,Divorced,Unmarried,Asian-Pac-Islander,Female,0,0,40,<=50K,Exec-managerial,United-States
28,Private,9,Never-married,Not-in-family,Asian-Pac-Islander,Female,0,0,40,<=50K,Exec-managerial,Other
45,Self-emp-not-inc,14,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Sales,United-States
36,Private,10,Divorced,Unmarried,White,Female,0,0,40,<=50K,Other-service,Mexico
39,Federal-gov,12,Never-married,Not-in-family,White,Male,0,0,42,<=50K,Exec-managerial,United-States
46,State-gov,14,Widowed,Unmarried,White,Male,0,0,40,<=50K,Other,United-States
18,Private,7,Never-married,Own-child,White,Male,0,0,16,<=50K,Other,United-States
66,Local-gov,11,Widowed,Not-in-family,White,Female,0,0,20,<=50K,Prof-specialty,United-States
27,Private,9,Never-married,Not-in-family,White,Male,0,1980,40,<=50K,Other-service,United-States
28,State-gov,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Other,United-States
51,Private,10,Married-civ-spouse,Husband,White,Male,0,1977,40,>50K,Sales,United-States
27,Private,13,Never-married,Not-in-family,White,Male,0,0,50,<=50K,Craft-repair,United-States
28,State-gov,13,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Prof-specialty,United-States
27,Private,9,Married-spouse-absent,Unmarried,White,Female,0,0,25,<=50K,Sales,United-States
21,Private,9,Never-married,Own-child,Black,Male,0,0,40,<=50K,Craft-repair,United-States
34,Private,9,Never-married,Not-in-family,Black,Male,0,0,40,<=50K,Other,United-States
18,Private,9,Never-married,Own-child,White,Male,0,0,12,<=50K,Other-service,United-States
33,Private,13,Married-civ-spouse,Husband,White,Male,0,0,65,<=50K,Prof-specialty,United-States
44,Local-gov,10,Married-civ-spouse,Husband,Black,Male,0,0,38,>50K,Exec-managerial,United-States
43,Private,10,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Adm-clerical,United-States
30,Private,10,Never-married,Not-in-family,Black,Male,0,0,45,<=50K,Craft-repair,United-States
40,Private,4,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Machine-op-inspct,Mexico
37,Federal-gov,10,Married-civ-spouse,Husband,White,Male,0,0,42,>50K,Adm-clerical,United-States
34,Private,9,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,Adm-clerical,United-States
41,Self-emp-not-inc,13,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Exec-managerial,United-States
31,Private,14,Married-civ-spouse,Wife,White,Female,0,0,50,<=50K,Prof-specialty,United-States
58,State-gov,16,Married-civ-spouse,Husband,White,Male,0,0,1,>50K,Prof-specialty,United-States
38,Private,10,Divorced,Not-in-family,Black,Female,0,0,28,<=50K,Machine-op-inspct,United-States
24,Private,10,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Machine-op-inspct,United-States
41,Local-gov,13,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,Craft-repair,United-States
47,Private,10,Married-civ-spouse,Husband,White,Male,0,0,45,<=50K,Other,United-States
41,Federal-gov,13,Married-civ-spouse,Husband,White,Male,0,0,24,<=50K,Other,United-States
23,Private,3,Married-civ-spouse,Other-relative,White,Male,0,0,40,<=50K,Other,Mexico
36,Private,10,Divorced,Not-in-family,White,Male,0,0,40,<=50K,Craft-repair,United-States
40,Federal-gov,14,Never-married,Not-in-family,White,Female,14084,0,55,>50K,Exec-managerial,United-States
35,Private,14,Married-civ-spouse,Other-relative,White,Male,7298,0,40,>50K,Prof-specialty,United-States
24,Self-emp-not-inc,9,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Sales,United-States
26,Private,14,Never-married,Not-in-family,White,Female,0,1876,40,<=50K,Prof-specialty,United-States
51,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,Exec-managerial,United-States
42,Local-gov,10,Never-married,Not-in-family,White,Female,0,1340,40,<=50K,Prof-specialty,United-States
37,State-gov,9,Divorced,Unmarried,White,Female,0,0,35,<=50K,Adm-clerical,United-States
18,Private,7,Never-married,Own-child,White,Female,0,0,40,<=50K,Sales,United-States
36,Private,13,Married-civ-spouse,Husband,Black,Male,7298,0,36,>50K,Other-service,United-States
35,Private,9,Divorced,Not-in-family,White,Male,0,0,60,<=50K,Craft-repair,United-States
58,Self-emp-inc,9,Married-civ-spouse,Wife,White,Female,15024,0,35,>50K,Sales,United-States
17,Private,7,Never-married,Own-child,White,Female,0,0,12,<=50K,Sales,United-States
44,Local-gov,9,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,Other,United-States
37,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Craft-repair,United-States
35,Private,10,Never-married,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,<=50K,Sales,United-States
60,Private,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K,Craft-repair,United-States
54,Self-emp-inc,4,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Machine-op-inspct,United-States
37,Private,13,Never-married,Not-in-family,Black,Male,0,0,60,>50K,Exec-managerial,United-States
50,Private,12,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Sales,United-States
38,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Sales,Other
45,Private,13,Married-civ-spouse,Husband,White,Male,0,0,55,<=50K,Prof-specialty,United-States
25,Private,6,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Craft-repair,United-States
31,Private,10,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Other,United-States
90,Private,9,Never-married,Not-in-family,Black,Male,0,2206,40,<=50K,Other-service,United-States
54,Private,9,Married-civ-spouse,Husband,Black,Male,0,0,20,<=50K,Adm-clerical,United-States
53,Local-gov,1,Never-married,Not-in-family,White,Female,0,0,35,<=50K,Machine-op-inspct,United-States
18,Private,9,Never-married,Own-child,White,Female,0,0,40,<=50K,Sales,United-States
66,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,1409,0,50,<=50K,Other,United-States
75,Private,11,Widowed,Not-in-family,White,Female,0,0,20,<=50K,Adm-clerical,Other
65,Private,9,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Adm-clerical,United-States
35,Private,7,Separated,Not-in-family,Black,Male,3674,0,40,<=50K,Other,United-States
41,Private,9,Divorced,Unmarried,Black,Female,0,0,38,<=50K,Sales,United-States
25,Private,10,Never-married,Not-in-family,White,Male,0,0,42,<=50K,Adm-clerical,United-States
33,Private,10,Divorced,Other-relative,Other,Female,0,0,40,<=50K,Craft-repair,United-States
28,Private,15,Never-married,Not-in-family,White,Male,0,0,55,>50K,Prof-specialty,United-States
59,State-gov,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Other-service,United-States
40,State-gov,10,Never-married,Not-in-family,White,Female,0,0,38,<=50K,Adm-clerical,United-States
41,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,Exec-managerial,Other
38,Local-gov,14,Married-civ-spouse,Husband,White,Male,0,0,70,>50K,Exec-managerial,United-States
23,Private,9,Never-married,Own-child,White,Male,0,0,40,<=50K,Other,United-States
40,Private,13,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Prof-specialty,United-States
41,Self-emp-not-inc,9,Married-civ-spouse,Wife,White,Female,0,0,20,<=50K,Other-service,United-States
24,State-gov,12,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Other,United-States
38,Private,10,Divorced,Not-in-family,White,Male,0,1741,40,<=50K,Craft-repair,United-States
58,Private,9,Married-civ-spouse,Husband,White,Male,0,0,45,>50K,Adm-clerical,United-States
32,Private,9,Never-married,Not-in-family,White,Female,0,0,34,<=50K,Other-service,United-States
40,Private,12,Married-civ-spouse,Husband,White,Male,0,1977,60,>50K,Other,United-States
41,Private,15,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,Prof-specialty,United-States
42,Private,13,Married-civ-spouse,Wife,Black,Female,0,0,40,<=50K,Adm-clerical,United-States
59,Local-gov,6,Widowed,Unmarried,Black,Female,0,0,30,<=50K,Other-service,United-States
19,Local-gov,10,Never-married,Own-child,White,Male,0,0,40,<=50K,Adm-clerical,United-States
58,Private,10,Never-married,Not-in-family,White,Male,0,0,20,<=50K,Other,United-States
42,Self-emp-not-inc,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,>50K,Other,Other
20,Private,9,Never-married,Own-child,White,Female,0,0,40,<=50K,Other-service,United-States
32,Private,9,Separated,Not-in-family,White,Female,0,0,30,<=50K,Other-service,United-States
45,Private,11,Widowed,Not-in-family,White,Female,0,0,45,<=50K,Exec-managerial,United-States
50,Private,4,Divorced,Not-in-family,White,Male,0,0,40,<=50K,Craft-repair,United-States
36,Private,13,Divorced,Own-child,White,Female,0,0,40,<=50K,Prof-specialty,United-States
45,Private,9,Married-civ-spouse,Husband,White,Male,0,0,60,<=50K,Sales,United-States
17,Private,7,Never-married,Own-child,White,Male,0,0,12,<=50K,Other-service,United-States
59,Private,10,Married-civ-spouse,Husband,White,Male,4064,0,40,<=50K,Sales,United-States
26,Private,7,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Craft-repair,United-States
37,Self-emp-inc,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,75,>50K,Exec-managerial,Other
64,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Exec-managerial,United-States
33,Private,13,Never-married,Not-in-family,White,Female,0,0,45,<=50K,Prof-specialty,United-States
33,Private,9,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,Craft-repair,United-States
61,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Exec-managerial,United-States
17,Private,5,Never-married,Own-child,White,Male,1055,0,24,<=50K,Other-service,United-States
50,Self-emp-not-inc,14,Married-civ-spouse,Husband,White,Male,2407,0,98,<=50K,Other,United-States
27,Local-gov,14,Never-married,Own-child,White,Male,0,0,35,<=50K,Prof-specialty,United-States
30,Private,9,Divorced,Own-child,White,Female,0,0,40,<=50K,Prof-specialty,United-States
43,Private,9,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,Other,United-States
44,Private,10,Married-civ-spouse,Husband,White,Male,7298,0,40,>50K,Craft-repair,United-States
35,Private,10,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Exec-managerial,United-States
25,Private,10,Never-married,Own-child,White,Female,0,0,40,<=50K,Other,United-States
24,Private,10,Married-civ-spouse,Wife,White,Female,7298,0,48,>50K,Machine-op-inspct,United-States
22,Private,13,Never-married,Not-in-family,White,Female,0,0,15,<=50K,Prof-specialty,Other
42,Local-gov,10,Married-civ-spouse,Husband,White,Male,5178,0,40,>50K,Craft-repair,United-States
34,Private,12,Divorced,Unmarried,Black,Female,0,0,45,<=50K,Sales,United-States
60,Private,13,Divorced,Not-in-family,White,Female,0,0,42,<=50K,Prof-specialty,United-States
21,Private,9,Never-married,Own-child,White,Male,0,0,40,<=50K,Other,United-States
57,Federal-gov,14,Married-civ-spouse,Husband,White,Male,15024,0,40,>50K,Sales,United-States
41,Private,15,Married-civ-spouse,Husband,White,Male,0,0,60,>50K,Prof-specialty,United-States
50,Private,10,Divorced,Not-in-family,White,Male,0,0,45,<=50K,Other-service,United-States
25,Private,13,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Exec-managerial,United-States
50,Private,4,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Craft-repair,Other
36,Private,13,Married-civ-spouse,Husband,White,Male,0,0,45,<=50K,Prof-specialty,United-States
31,Private,9,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Prof-specialty,United-States
29,Local-gov,13,Never-married,Not-in-family,White,Male,0,0,56,<=50K,Other,United-States
21,Private,10,Never-married,Own-child,White,Male,0,0,45,<=50K,Sales,United-States
27,Private,13,Never-married,Unmarried,Black,Female,0,0,40,<=50K,Other,United-States
65,Private,9,Married-civ-spouse,Husband,White,Male,0,0,16,<=50K,Other,United-States
37,Self-emp-inc,13,Divorced,Not-in-family,White,Female,0,0,60,<=50K,Sales,United-States
24,Private,9,Never-married,Own-child,White,Male,0,0,40,<=50K,Craft-repair,United-States
38,Private,9,Divorced,Not-in-family,White,Male,0,0,80,<=50K,Sales,United-States
48,Private,13,Married-civ-spouse,Husband,White,Male,7688,0,40,>50K,Adm-clerical,United-States
21,Private,10,Never-married,Not-in-family,Asian-Pac-Islander,Female,0,0,25,<=50K,Other-service,United-States
31,Private,9,Married-civ-spouse,Husband,White,Male,0,0,45,>50K,Other,United-States
55,Private,9,Married-civ-spouse,Husband,White,Male,4386,0,40,>50K,Sales,United-States
24,Private,10,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,0,40,<=50K,Adm-clerical,Other
43,Private,9,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Adm-clerical,United-States
26,Private,12,Never-married,Not-in-family,White,Male,0,0,45,<=50K,Other,United-States
46,Private,12,Never-married,Not-in-family,White,Female,0,0,33,<=50K,Prof-specialty,United-States
35,Private,12,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Adm-clerical,United-States
41,Self-emp-inc,10,Married-civ-spouse,Husband,White,Male,0,0,54,>50K,Other,United-States
26,Private,13,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Sales,United-States
34,Private,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,7298,0,35,>50K,Exec-managerial,Other
36,Self-emp-not-inc,13,Divorced,Not-in-family,Black,Female,0,0,40,>50K,Prof-specialty,United-States
22,Private,10,Never-married,Own-child,White,Male,0,0,15,<=50K,Sales,United-States
